global_year,global_temp,riy_year,riy_temp
1843,8.17,1843,24.74
1844,7.65,1844,15.45
1845,7.85,1845,20.82
1848,7.98,1848,24.56
1849,7.98,1849,24.80
1850,7.90,1850,24.34
1851,8.18,1851,25.03
1852,8.10,1852,24.85
1853,8.04,1853,24.93
1854,8.21,1854,24.72
1855,8.11,1855,24.92
1856,8.00,1856,24.57
1857,7.76,1857,24.26
1858,8.10,1858,25.01
1859,8.25,1859,24.95
1860,7.96,1860,24.94
1861,7.85,1861,24.13
1862,7.56,1862,23.77
1863,8.11,1863,24.28
1864,7.98,1864,25.03
1865,8.18,1865,25.23
1866,8.29,1866,24.92
1867,8.44,1867,25.22
1868,8.25,1868,25.00
1869,8.43,1869,25.30
1870,8.20,1870,25.02
1871,8.12,1871,24.73
1872,8.19,1872,24.87
1873,8.35,1873,25.24
1874,8.43,1874,24.98
1875,7.86,1875,24.43
1876,8.08,1876,24.89
1877,8.54,1877,25.47
1878,8.83,1878,25.51
1879,8.17,1879,25.24
1880,8.12,1880,24.80
1881,8.27,1881,25.63
1882,8.13,1882,24.66
1883,7.98,1883,25.19
1884,7.77,1884,24.80
1885,7.92,1885,24.98
1886,7.95,1886,24.98
1887,7.91,1887,24.81
1888,8.09,1888,25.13
1889,8.32,1889,25.52
1890,7.97,1890,25.07
1891,8.02,1891,25.39
1892,8.07,1892,25.22
1893,8.06,1893,25.19
1894,8.16,1894,24.66
1895,8.15,1895,24.69
1896,8.21,1896,24.88
1897,8.29,1897,24.86
1898,8.18,1898,24.88
1899,8.40,1899,25.12
1900,8.50,1900,25.29
1901,8.54,1901,25.55
1902,8.30,1902,25.25
1903,8.22,1903,24.64
1904,8.09,1904,25.07
1905,8.23,1905,24.87
1906,8.38,1906,24.85
1907,7.95,1907,24.44
1908,8.19,1908,24.95
1909,8.18,1909,25.57
1910,8.22,1910,24.75
1911,8.18,1911,24.24
1912,8.17,1912,24.96
1913,8.30,1913,24.63
1914,8.59,1914,24.94
1915,8.59,1915,25.38
1916,8.23,1916,24.85
1917,8.02,1917,25.03
1918,8.13,1918,24.66
1919,8.38,1919,25.39
1920,8.36,1920,24.94
1921,8.57,1921,24.84
1922,8.41,1922,25.35
1923,8.42,1923,25.10
1924,8.51,1924,25.69
1925,8.53,1925,25.00
1926,8.73,1926,25.19
1927,8.52,1927,25.29
1928,8.63,1928,25.39
1929,8.24,1929,25.36
1930,8.63,1930,25.39
1931,8.72,1931,25.38
1932,8.71,1932,24.96
1933,8.34,1933,24.67
1934,8.63,1934,24.97
1935,8.52,1935,25.61
1936,8.55,1936,25.15
1937,8.70,1937,25.08
1938,8.86,1938,25.11
1939,8.76,1939,25.16
1940,8.76,1940,25.51
1941,8.77,1941,25.37
1942,8.73,1942,25.49
1943,8.76,1943,24.96
1944,8.85,1944,25.60
1945,8.58,1945,25.30
1946,8.68,1946,25.49
1947,8.80,1947,26.00
1948,8.75,1948,24.85
1949,8.59,1949,24.82
1950,8.37,1950,24.98
1951,8.63,1951,26.10
1952,8.64,1952,25.72
1953,8.87,1953,25.51
1954,8.56,1954,25.80
1955,8.63,1955,25.33
1956,8.28,1956,25.02
1957,8.73,1957,24.69
1958,8.77,1958,25.64
1959,8.73,1959,24.14
1960,8.58,1960,25.67
1961,8.80,1961,25.12
1962,8.75,1962,26.10
1963,8.86,1963,25.54
1964,8.41,1964,25.14
1965,8.53,1965,25.59
1966,8.60,1966,26.16
1967,8.70,1967,24.87
1968,8.52,1968,25.21
1969,8.60,1969,26.05
1970,8.70,1970,25.84
1971,8.60,1971,24.93
1972,8.50,1972,24.74
1973,8.95,1973,25.60
1974,8.47,1974,25.40
1975,8.74,1975,25.04
1976,8.35,1976,24.97
1977,8.85,1977,25.99
1978,8.69,1978,25.95
1979,8.73,1979,26.20
1980,8.98,1980,25.83
1981,9.17,1981,25.95
1982,8.64,1982,24.62
1983,9.03,1983,24.85
1984,8.69,1984,25.05
1985,8.66,1985,25.30
1986,8.83,1986,25.36
1987,8.99,1987,26.37
1988,9.20,1988,25.99
1989,8.92,1989,25.05
1990,9.23,1990,25.70
1991,9.18,1991,25.43
1992,8.84,1992,24.37
1993,8.87,1993,25.42
1994,9.04,1994,26.08
1995,9.35,1995,25.64
1996,9.04,1996,26.28
1997,9.20,1997,25.49
1998,9.52,1998,26.73
1999,9.29,1999,26.92
2000,9.20,2000,26.55
2001,9.41,2001,26.67
2002,9.57,2002,26.44
2003,9.53,2003,26.62
2004,9.32,2004,26.20
2005,9.70,2005,26.27
2006,9.53,2006,26.24
2007,9.73,2007,26.49
2008,9.43,2008,26.21
2009,9.51,2009,26.71
2010,9.70,2010,27.37
2011,9.52,2011,26.40
2012,9.51,2012,26.83
2013,9.61,2013,27.78
